"id","source_row_numbers","name","types","vat_id","address_street","address_zip","address_city","address_country","channels_json","business_relationship_json","tags_json","memo","notes"
"bp-0087","161","Metallbau Geßmann GmbH","company","DE120274902","Moerser Straße 11","47495","Rheinberg","DE","[{""type"":""website"",""address"":""http://www.metallbau-gessmann.de""},{""type"":""email"",""address"":""info@metallbau-gessmann.de""},{""type"":""phone"",""address"":""+49 2843 9080860""}]","[]","[]","",""
"bp-0088","162;163","Metallbau Hans Walther GmbH","company","DE279276517","Am Spitzberg 7","01728","Bannewitz","DE","[{""type"":""email"",""address"":""info@metallbau-walther.de""},{""type"":""phone"",""address"":""+49 35206 26280""}]","[]","[]","die ersten zwei Tage inkl. Reisekosten für Ralf und mich 4000 Euro",""
"bp-0089","164","Unbenannter GP 163","company","DE292709536","Koppel 1","20099","Hamburg","","[]","[]","[]","",""
"bp-0090","165;166;167;168","Mr. Wash Autoservice AG","company","DE119358459","Westendstraße 8","45143","Essen","DE","[{""type"":""website"",""address"":""https://www.mrwash.de/de""},{""type"":""email"",""address"":""kontakt@mrwash.de""},{""type"":""phone"",""address"":""+49 201 2208800""}]","[]","[]","Honorar: 1600 pro Tag, zzgl. 400 Euro Reisekostenpauschale
rechnungseingang@mrwash.de",""
"bp-0091","169;170","Museum für Naturkunde Berlin","company","DE262426477","Leibniz-Institut für Evolutions- und Biodiversitätsforschung","10115","Berlin","DE","[{""type"":""website"",""address"":""http://museumfuernaturkunde.berlin""},{""type"":""phone"",""address"":""+49 30 250025""}]","[]","[]","",""
"bp-0092","171;172","OBERDECK Betreibergesellschaft mbH","company","DE314575329","Große Elbstr. 145c","22767","Hamburg","DE","[{""type"":""website"",""address"":""http://www.oberdeck-hamburg.de""},{""type"":""email"",""address"":""mail@oberdeck-hamburg.de""},{""type"":""phone"",""address"":""+49 40 303775511""}]","[]","[]","",""
"bp-0093","173;174","Open Grid Europe GmbH","company","","Bamler Servicepark","45141","Essen","DE","[{""type"":""website"",""address"":""http://www.oge.net""}]","[]","[]","",""
"bp-0094","175","Unbenannter GP 174","","DE353950647","Albrecht-Thaer-Str. 22","90449","Nürnberg","DE","[{""type"":""website"",""address"":""https://orgops.io""}]","[]","[]","",""
"bp-0095","177","SAALHAUS","company","DE118716449","Trostbrücke 4-6","20457","Hamburg","DE","[{""type"":""website"",""address"":""http://saalhaus.de""}]","[]","[]","",""
"bp-0096","178","Unbenannter GP 177","","","","","","","[]","[]","[]","",""
"bp-0097","179;180","SATIS LLC","company","/","ABC-Str 23","25462","Rellingen","DE","[]","[]","[]","",""
"bp-0098","181;182","SOLCOM GmbH","company","DE187291644","Schuckertstr. 1","72766","Reutlingen","DE","[{""type"":""website"",""address"":""http://www.solcom.de""},{""type"":""email"",""address"":""info@solcom.de""},{""type"":""phone"",""address"":""+49 4971 2112770""}]","[]","[]","",""
"bp-0099","183;184","SPIEGEL-Verlag Rudolf Augstein GmbH & Co. KG","company","DE118922410","Ericusspitze 1","20457","Hamburg","DE","[{""type"":""website"",""address"":""http://www.spiegel.de""},{""type"":""email"",""address"":""spiegel@spiegel.de""},{""type"":""phone"",""address"":""+49 40 30070""}]","[]","[]","2.500 Euro für 3 Std. Interaktiver Vortrag von Ralf",""
"bp-0100","186;187","SachsenEnergie AG","company","DE140293195","Friedrich-List-Platz 2","01069","Dresden","DE","[{""type"":""website"",""address"":""https://www.sachsenenergie.de""},{""type"":""email"",""address"":""service@sachsenenergie.de""},{""type"":""phone"",""address"":""+49 351 56300""}]","[]","[]","",""
"bp-0101","188;189","Schleswig-Holstein Netz GmbH","company","DE366371470","Rechnungsprüfung","25442","Quickborn","DE","[{""type"":""website"",""address"":""https://www.sh-netz.com/de.html""},{""type"":""email"",""address"":""einvoice-shng@sh-netz.com""},{""type"":""phone"",""address"":""+49 4106 6489090""}]","[]","[]","150 Euro pro Stunde, pro vier Stunden eine Stunde Vor- und NachbereitungBestellnummer 4500055947/T23/1556",""
"bp-0102","190","Siemens Energy","company","","","","","DE","[]","[]","[]","",""
"bp-0103","191;192;193","Siemens Energy GmbH & Co. KG","company","DE325998031","Siemenspromenade 9","91058","Erlangen","DE","[{""type"":""website"",""address"":""http://siemens-energy.com""},{""type"":""phone"",""address"":""+49 9131 26504""}]","[]","[]","Auftrag 2025
PO 5190073572
Bei Rechnungsstellung geben Sie diese Nr. bitte auf ihrer Rechnung an und senden diese im Anschluss direkt per Mail an:
invoiceenergy.de@siemens.com und gern an mich in CC
Rechnungsadresse:
Siemens Energy Global GmbH & Co. KG
SE LC GT (Doreen Hentsch)
Siemenspromenade 9
91058 Erlangen",""
"bp-0104","194;195","Sparkasse Chemnitz","company","DE171180938","Bahnhofstr. 51","09111","Chemnitz","DE","[{""type"":""website"",""address"":""http://www.spk-chemnitz.de""},{""type"":""email"",""address"":""sc.direct@spk-chemnitz.de""},{""type"":""phone"",""address"":""+49 371 9926200""}]","[]","[]","",""
"bp-0105","197;199;201","TKMS GmbH","company","DE 812 656 084","","20457","Hamburg","","[{""type"":""website"",""address"":""http://www.thyssenkrupp.com""}]","[]","[]","Zeitmangement-Semiinar pro Tag 2100 Euro
Rechnungen senden an: invoice.tkms@thyssenkrupp.comMail von Segner am 25.07.25: In diesem Zuge weisen wir darauf hin, dass Mahnung bitte ab sofort an folgende email-Adresse zu senden sind:Dunning.tkms@tkmsgroup.com",""
"bp-0106","198","Unbenannter GP 197","","","","","","","[]","[]","[]","",""
"bp-0107","200","TKMS GmbH","","DE812656084","Abt. APC","24143","Kiel","DE","[]","[]","[]","",""
"bp-0108","202","TSG Technologie und Service GmbH","company","DE125651883","Kreuzstr. 108-110","44137","Dortmund","DE","[]","[]","[]","1500 pro Tag, plus Reisekosten	​",""
"bp-0109","203;204;205;206;207;208;209","Talentus GmbH","company","DE169095978","Friedrichstraße 16-18","65185","Wiesbaden","DE","[{""type"":""website"",""address"":""http://www.talentus.de/""}]","[]","[]","Honorar inhouse 20 Personen 2000 €, abgesrpcohen mit Frau Andreesen am 18.8.25

Honorar entsprechend Vertrag vom 19.9.24
inhouse Veranstaltung: 1600 pro Tag
Offene Seminare:
Tageshonorar bis 7 Teilnehmer: 1200 Euro
Tageshonorar ab 8 Teilnehmer: 1400 Euro
Tageshonorar ab 10 Teilnehmer: 1600 Euro

Meine Anfrage am 2.12.24: Ich würde gern zu den 1.600 Euro pro Tag 600 Euro addieren. Das wäre dann bei 1,5 Tagen für 27 TNs insgesamt 3.300 Euro. Was meinen Sie dazu?
Lernprogramm: https://meineevents.talentus.de/manage-modules",""
"bp-0110","210;211","Technische Universität Berlin","company","DE811231089","Straße des 17. Juni 135","10632","Berlin","DE","[{""type"":""website"",""address"":""https://www.tu.berlin/""}]","[]","[]","",""
"bp-0111","212;214;215","Tischlerei Niehaus","company","DE 154 858 837","Fehmarnstraße 10","33729","Bielefeld","","[{""type"":""website"",""address"":""http://www.tischlerei-niehaus.de/""},{""type"":""email"",""address"":""mail@tischlerei-niehaus.de""},{""type"":""phone"",""address"":""+49 521 9774940""}]","[]","[]","1.500 € pro Tag, Stunden anteilig",""
"bp-0112","213","Unbenannter GP 212","","","","","","","[]","[]","[]","",""
"bp-0113","216;217;218;219;220;221","VERBUND AG","company","ATU14703908","Am Hof 6a","1010","Wien","AT","[{""type"":""website"",""address"":""https://www.verbund.com/""},{""type"":""phone"",""address"":""+43 50 3135 41328""},{""type"":""phone"",""address"":""+43 664 8282971""}]","[]","[]","5000 Euro pro Monat, zzgl. 500 Euro Reisekosten pro Termin",""
"bp-0114","222","VSBI e.V.","company","DE276664984","Johannesstraße 141","99084","Erfurt","","[]","[]","[]","",""
"bp-0115","224;225","Villa Kunterbunt gGmbH","company","","Haferkampstr. 36","26316","Varel","DE","[]","[]","[]","",""
"bp-0116","226;227","WAGO GmbH & Co. KG","company","","","","","","[]","[]","[]","",""
"bp-0117","228","WAGO Gruppe GmbH & Co. KG","company","DE814428979","Hansastr. 27","32423","Minden","DE","[{""type"":""website"",""address"":""http://www.wago.com""},{""type"":""email"",""address"":""info.de@wago.com""},{""type"":""phone"",""address"":""+49 4957 18870""}]","[]","[]","",""
"bp-0118","229","WAL TECH","company","","6812 Bow Crescent NW","T3B 2B9","Calgary","CA","[{""type"":""email"",""address"":""6812waltherk@gmail.com""}]","[]","[]","",""
"bp-0119","230;231;232;233;234","WORK WITH EASE EOOD","company","BG205889057","ul. Bor 4","2777","Dobrinishte","BG","[{""type"":""website"",""address"":""https://zeitgewinn-hamburg.de/""},{""type"":""email"",""address"":""andrea@work-with-ease.eu""},{""type"":""phone"",""address"":""+49 176 10335862""}]","[]","[]","",""
"bp-0120","235;236;237","Zukunft-Umwelt-Gesellschaft (ZUG) gGmbH","company","","Stresemannstraße 69","10963","Berlin","DE","[{""type"":""website"",""address"":""http://www.z-u-g.org""}]","[]","[]","",""
"bp-0121","238","bbw gGmbH","company","","Zentrale Büro Würzburg","97074","Würzburg","DE","[]","[]","[]","pro Tag 2400 Euro, zzgl. 400 Euro Reisekosten",""
"bp-0122","239;241","hm.creative consulting","company","DE248970994","Weidenbornstraße 8a","65189","Wiesbaden","DE","[{""type"":""phone"",""address"":""‭+49 172 6144154‬""}]","[]","[]","",""
"bp-0123","240","Unbenannter GP 239","","","","","","","[]","[]","[]","",""
"bp-0124","242","Unbenannter GP 241","","","","","","","[]","[]","[]","",""
"bp-0125","243","xxx Musterböhling GmbH","company","DE1234556712","Musterstraße","22299","Hamburg","DE","[{""type"":""website"",""address"":""http://musterboehling.de""},{""type"":""email"",""address"":""muster@web.de""},{""type"":""phone"",""address"":""+49 40 1212121""},{""type"":""phone"",""address"":""0049-170-39494949""}]","[]","[]","",""
"bp-0126","244","xxxMusterlüdenscheidt KG","company","","Isetstr. 123","12398","Berlin","DE","[{""type"":""website"",""address"":""https://musterlüdenkg.de""},{""type"":""phone"",""address"":""0049-30-9283472""}]","[]","[]","",""
"bp-0127","245;246","​Hochschule der Bayerischen Wirtschaft (HDBW) gGmbH","company","DE815520187","Konrad-Zuse-Platz 8","81829","München","DE","[{""type"":""website"",""address"":""https://www.hdbw-hochschule.de/""}]","[]","[]","",""
